date,headline,body,ticker,sentiment_hint
2023-01-03,Alcoa (AA) closed the most recent trading day at $44,"Alcoa (AA) closed the most recent trading day at $44.58, moving -1.96% from the previous trading session. This move lagged the S&P 500's daily loss of 0.4%. Elsewhere, the Dow lost 0.03%, while the tech-heavy Nasdaq lost 4.72%.
Prior to today's trading, shares of the bauxite, alumina and aluminum products company had lost 2.26% over the past month. This has was narrower than the Industrial Products sector's loss of 3.88% and the S&P 500's loss of 5.57% in that time.
Investors will be hoping for strength from Alcoa as it approaches its next earnings release, which is expected to be January 18, 2023. On that day, Alcoa is projected to report earnings of -$0.82 per share, which would represent a year-over-year decline of 132.8%. Our most recent consensus estimate is calling for quarterly revenue of $2.59 billion, down 22.37% from the year-ago period.
It is also important to note the recent changes to analyst estimates for Alcoa. Recent revisions tend to reflect the latest near-term business trends. With this in mind, we can consider positive estimate revisions a sign of optimism about the company's business outlook.
Research indicates that these estimate revisions are directly correlated with near-term share price momentum. We developed the Zacks Rank to capitalize on this phenomenon. Our system takes these estimate changes into account and delivers a clear, actionable rating model.
The Zacks Rank system ranges from #1 (Strong Buy) to #5 (Strong Sell). It has a remarkable, outside-audited track record of success, with #1 stocks delivering an average annual return of +25% since 1988. Within the past 30 days, our consensus EPS projection has moved 7.99% lower. Alcoa is holding a Zacks Rank of #3 (Hold) right now.
In terms of valuation, Alcoa is currently trading at a Forward P/E ratio of 9.92. For comparison, its industry has an average Forward P/E of 7.07, which means Alcoa is trading at a premium to the group.
We can also see that AA currently has a PEG ratio of 0.81. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. Metal Products - Distribution stocks are, on average, holding a PEG ratio of 3.12 based on yesterday's closing prices.
The Metal Products - Distribution industry is part of the Industrial Products sector. This industry currently has a Zacks Industry Rank of 99, which puts it in the top 40% of all 250+ industries.
The Zacks Industry Rank gauges the strength of our individual industry groups by measuring the average Zacks Rank of the individual stocks within the groups. Our research shows that the top 50% rated industries outperform the bottom half by a factor of 2 to 1.
Make sure to utilize Zacks.com to follow all of these stock-moving metrics, and more, in the coming trading sessions.
Zacks Top 10 Stocks for 2023
In addition to the investment ideas discussed above, would you like to know about our 10 top picks for the entirety of 2023? From inception in 2012 through November, the Zacks Top 10 Stocks portfolio has tripled the market, gaining an impressive +884.5% versus the S&P 500’s +287.4%.
Now our Director of Research is combing through 4,000 companies covered by the Zacks Rank to handpick the best 10 tickers to buy and hold. Don’t miss your chance to get in on these stocks when they’re released on January 3.
Be First to New Top 10 Stocks >>
Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report
Alcoa (AA) : Free Stock Analysis Report
To read this article on Zacks.com click here.
Zacks Investment Research
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-04,Alcoa (NYSE:AA) stock has declined by close to 10% over the last month and remains down by close to ,"Alcoa (NYSE:AA) stock has declined by close to 10% over the last month and remains down by close to 24% over the past year. Now, the broader markets have taken a hit in recent weeks, amid concerns about a U.S. recession in 2023.  The Federal Reserve is also continuing with its hawkish stance with plans of further rate hikes, despite the moderating pace of inflation and this is likely to weigh on demand for industrial commodities. Aluminum prices have also declined from around $2,500 per ton in early December to about $2,400 currently and remain well below levels of over $3,000 per ton seen in early 2022. Moreover, aluminum output from China has also been expanding, driven by relaxed power restrictions and new capacity coming online. Over November 2022, China’s primary aluminum production was up by 9.4% year-over-year. While the impact of this on prices is likely to be partly alleviated by China’s move to raise tariffs on aluminum exports, this could be a negative for the aluminum market.
We remain neutral on Alcoa stock, with a $47 price estimate, which is roughly in line with the current market price. Although there could be near-term headwinds for commodities given the uncertain macro environment, we see a couple of positives for aluminum producers such as Alcoa. Energy prices have cooled off a bit in recent weeks, and this could help Alcoa to an extent. Moreover, rising investments in the renewable energy sector including electric vehicles, charging infrastructure, and solar & wind power plants remain secular drivers for aluminum demand. We also think that Alcoa has an edge over other aluminum producers in the longer run,  given its strong balance sheet (net debt of just about $370 million), and relatively greener operations with its smelting operations largely running on hydropower. See our analysis of Alcoa valuation for a closer look at what’s driving our price estimate for Alcoa and how Alcoa’s valuation compares with peers. Also see our analysis of Alcoa Revenue for more details on how Alcoa’s revenues are expected to trend.
What if you’re looking for a more balanced portfolio instead? Our high-quality portfolio and multi-strategy portfolio have beaten the market consistently since the end of 2016.
Returns Jan 2023
MTD [1] 2023
YTD [1] 2017-23
Total [2]
 AA Return 0% 0% 63%
 S&P 500 Return 0% 0% 71%
 Trefis Multi-Strategy Portfolio 0% 0% 215%
[1] Month-to-date and year-to-date as of 1/2/2023
[2] Cumulative total returns since the end of 2016
Invest with Trefis Market Beating Portfolios
See all Trefis Price Estimates
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-06,"Among the underlying components of the Russell 3000 index, we saw noteworthy options trading volume ","Among the underlying components of the Russell 3000 index, we saw noteworthy options trading volume today in DaVita Inc (Symbol: DVA), where a total of 5,319 contracts have traded so far, representing approximately 531,900 underlying shares. That amounts to about 74.9% of DVA's average daily trading volume over the past month of 710,000 shares. Particularly high volume was seen for the $87.50 strike call option expiring April 21, 2023, with 2,500 contracts trading so far today, representing approximately 250,000 underlying shares of DVA. Below is a chart showing DVA's trailing twelve month trading history, with the $87.50 strike highlighted in orange:
Marvell Technology Inc (Symbol: MRVL) options are showing a volume of 71,901 contracts thus far today. That number of contracts represents approximately 7.2 million underlying shares, working out to a sizeable 68.7% of MRVL's average daily trading volume over the past month, of 10.5 million shares. Particularly high volume was seen for the $37.50 strike call option expiring March 17, 2023, with 12,259 contracts trading so far today, representing approximately 1.2 million underlying shares of MRVL. Below is a chart showing MRVL's trailing twelve month trading history, with the $37.50 strike highlighted in orange:
And Alcoa Corporation (Symbol: AA) options are showing a volume of 26,049 contracts thus far today. That number of contracts represents approximately 2.6 million underlying shares, working out to a sizeable 68.2% of AA's average daily trading volume over the past month, of 3.8 million shares. Especially high volume was seen for the $47 strike call option expiring January 20, 2023, with 2,050 contracts trading so far today, representing approximately 205,000 underlying shares of AA. Below is a chart showing AA's trailing twelve month trading history, with the $47 strike highlighted in orange:
For the various different available expirations for DVA options, MRVL options, or AA options, visit StockOptionsChannel.com.
Today's Most Active Call & Put Options of the S&P 500 »
Also see:
 Convertible Preferred Stocks
 Institutional Holders of XSNX
 DL Historical Stock Prices
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-06,Alcoa (AA) closed the most recent trading day at $46,"Alcoa (AA) closed the most recent trading day at $46.36, moving +1.91% from the previous trading session. This change lagged the S&P 500's 2.28% gain on the day. At the same time, the Dow added 2.13%, and the tech-heavy Nasdaq gained 5.02%.
Heading into today, shares of the bauxite, alumina and aluminum products company had lost 3.79% over the past month, lagging the Industrial Products sector's loss of 2.04% and outpacing the S&P 500's loss of 4.61% in that time.
Alcoa will be looking to display strength as it nears its next earnings release, which is expected to be January 18, 2023. In that report, analysts expect Alcoa to post earnings of -$0.82 per share. This would mark a year-over-year decline of 132.8%. Meanwhile, our latest consensus estimate is calling for revenue of $2.59 billion, down 22.37% from the prior-year quarter.
Investors should also note any recent changes to analyst estimates for Alcoa. These recent revisions tend to reflect the evolving nature of short-term business trends. With this in mind, we can consider positive estimate revisions a sign of optimism about the company's business outlook.
Our research shows that these estimate changes are directly correlated with near-term stock prices. We developed the Zacks Rank to capitalize on this phenomenon. Our system takes these estimate changes into account and delivers a clear, actionable rating model.
The Zacks Rank system ranges from #1 (Strong Buy) to #5 (Strong Sell). It has a remarkable, outside-audited track record of success, with #1 stocks delivering an average annual return of +25% since 1988. The Zacks Consensus EPS estimate has moved 7.99% lower within the past month. Alcoa is currently sporting a Zacks Rank of #3 (Hold).
In terms of valuation, Alcoa is currently trading at a Forward P/E ratio of 16.82. This valuation marks a premium compared to its industry's average Forward P/E of 9.94.
Investors should also note that AA has a PEG ratio of 1.37 right now. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. The Metal Products - Distribution industry currently had an average PEG ratio of 3.27 as of yesterday's close.
The Metal Products - Distribution industry is part of the Industrial Products sector. This industry currently has a Zacks Industry Rank of 19, which puts it in the top 8% of all 250+ industries.
The Zacks Industry Rank gauges the strength of our industry groups by measuring the average Zacks Rank of the individual stocks within the groups. Our research shows that the top 50% rated industries outperform the bottom half by a factor of 2 to 1.
You can find more information on all of these metrics, and much more, on Zacks.com.
Zacks Names ""Single Best Pick to Double""
From thousands of stocks, 5 Zacks experts each have chosen their favorite to skyrocket +100% or more in months to come. From those 5, Director of Research Sheraz Mian hand-picks one to have the most explosive upside of all.
It’s a little-known chemical company that’s up 65% over last year, yet still dirt cheap. With unrelenting demand, soaring 2022 earnings estimates, and $1.5 billion for repurchasing shares, retail investors could jump in at any time.
This company could rival or surpass other recent Zacks’ Stocks Set to Double like Boston Beer Company which shot up +143.0% in little more than 9 months and NVIDIA which boomed +175.9% in one year.
Free: See Our Top Stock and 4 Runners Up >>
Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report
Alcoa (AA) : Free Stock Analysis Report
To read this article on Zacks.com click here.
Zacks Investment Research
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-09,Jan 9 (Reuters) - Alcoa Corp AA,"Jan 9 (Reuters) - Alcoa Corp AA.N said on Monday a production unit has been taken offline at its partially owned Kwinana alumina refinery in Western Australia as a result of gas supply shortages.
The refinery, owned by Alcoa and Australia-listed Alumina Ltd AWC.AX in a joint venture, will see a 30% reduction in production, the firm said.
(Reporting by Harshita Swaminathan; Editing by Sherry Jacob-Phillips)
((Harshita.Swaminathan@thomsonreuters.com;))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-09,"Adds background on Australia gas prices, further details
Jan 9 (Reuters) - Aluminium producer Alcoa","Adds background on Australia gas prices, further details
Jan 9 (Reuters) - Aluminium producer Alcoa Corp AA.N said on Monday it expects production at its partially owned Kwinana alumina refinery in Western Australia to be cut by about 30% due to a shortage of gas supplies.
An unit of the refinery, majority owned by Alcoa in a joint venture with Alumina Ltd AWC.AX, has been taken offline and process flows will be reduced, the aluminium producer said in statement.
The Kwinana refinery has resorted to using diesel instead of gas for some of its operations, as a result of the shortage.
Alcoa did not set out a timeline for when it will resume full production.
(Reporting by Harshita Swaminathan; Editing by Sherry Jacob-Phillips and Nivedita Bhattacharjee)
((Harshita.Swaminathan@thomsonreuters.com;))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-10,(RTTNews) - Alcoa Corp,"(RTTNews) - Alcoa Corp. (AA), a bauxite, alumina and aluminum company, announced Tuesdsay the appointment of new Chief Operations Officer and Chief Financial Officer, as part of a restructuring to focus on its strategies to operate as a low-cost, margin-focused, sustainable producer. The changes are effective February 1.
The company appointed William Oplinger, currently Executive Vice President or EVP and Chief Financial Officer, as EVP and Chief Operations Officer. Oplinger has served as Alcoa Corp.'s CFO since November 2016, when the company completed a legal and structural separation from Alcoa Inc.
Further, the company appointed Molly Beerman, currently Senior Vice President and Controller, as EVP and Chief Financial Officer. She will also be the executive member to oversee Alcoa's Information Technology and Automation Solutions team.
The company also announced that Renato Bacchi, currently EVP and Chief Strategy Officer, will take on added responsibilities to become EVP, Chief Strategy & Innovation Officer, including overseeing Alcoa's research and development technologies.
As part of the restructuring, John Slaven, current EVP and Chief Operations Officer, and Benjamin Kahrs, EVP and Chief Innovation Officer, will leave the company.
Alcoa President and CEO Roy Harvey said, ""The plan is fully aligned with our Company's purpose and vision to reinvent the aluminum industry, and it will integrate the corporate strategy team with our innovative and breakthrough technologies.""
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-10,"In trading on Tuesday, shares of Alcoa Corporation (Symbol: AA) crossed above their 200 day moving a","In trading on Tuesday, shares of Alcoa Corporation (Symbol: AA) crossed above their 200 day moving average of $52.68, changing hands as high as $53.12 per share. Alcoa Corporation shares are currently trading up about 5.4% on the day. The chart below shows the one year performance of AA shares, versus its 200 day moving average:
Looking at the chart above, AA's low point in its 52 week range is $33.55 per share, with $98.09 as the 52 week high point — that compares with a last trade of $52.98.
Free Report: Top 8%+ Dividends (paid monthly)
Click here to find out which 9 other metals stocks recently crossed above their 200 day moving average »
Also see:
 Institutional Holders of AAMC
 Institutional Holders of SPDV
 ALUS Options Chain
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-11,"Adds details, background
Jan 12 (Reuters) - Alcoa Corp AA","Adds details, background
Jan 12 (Reuters) - Alcoa Corp AA.N said on Thursday it reverted to using gas to fuel boilers at its partially owned Kwinana and Pinjarra alumina refineries in Western Australia, a week after the aluminium producer had resorted to using diesel due to gas shortage.
Gas supply shortage in Western Australia has forced Alcoa to flag a 30% cut in its production from its Kwinana refinery, which it jointly owns with Alumina Ltd AWC.AX.
""Kwinana refinery continues to operate with one production unit offline and reduced process flows,"" Alcoa said. However, Alcoa did not set out a timeline on when it will resume full production.
Chevron Corp CVX.N on Wednesday re-commenced gas supply from Wheatstone domestic gas plant to the Western Australia market after an equipment failure knocked off the energy firm's 215 terajoules-a-day Wheatstone plant on Jan. 5.
(Reporting by Tejaswi Marthi in Bengaluru; Editing by Rashmi Aich and Sherry Jacob-Phillips)
((Tejaswi.Marthi@thomsonreuters.com;))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
2023-01-11,The market expects Alcoa (AA) to deliver a year-over-year decline in earnings on lower revenues when,"The market expects Alcoa (AA) to deliver a year-over-year decline in earnings on lower revenues when it reports results for the quarter ended December 2022. This widely-known consensus outlook is important in assessing the company's earnings picture, but a powerful factor that might influence its near-term stock price is how the actual results compare to these estimates.
The earnings report, which is expected to be released on January 18, 2023, might help the stock move higher if these key numbers are better than expectations. On the other hand, if they miss, the stock may move lower.
While management's discussion of business conditions on theearnings callwill mostly determine the sustainability of the immediate price change and future earnings expectations, it's worth having a handicapping insight into the odds of a positive EPS surprise.
Zacks Consensus Estimate
This bauxite, alumina and aluminum products company is expected to post quarterly loss of $0.76 per share in its upcoming report, which represents a year-over-year change of -130.4%.
Revenues are expected to be $2.59 billion, down 22.4% from the year-ago quarter.
Estimate Revisions Trend
The consensus EPS estimate for the quarter has been revised 33.33% lower over the last 30 days to the current level. This is essentially a reflection of how the covering analysts have collectively reassessed their initial estimates over this period.
Investors should keep in mind that the direction of estimate revisions by each of the covering analysts may not always get reflected in the aggregate change.
Earnings Whisper
Estimate revisions ahead of a company's earnings release offer clues to the business conditions for the period whose results are coming out. This insight is at the core of our proprietary surprise prediction model -- the Zacks Earnings ESP (Expected Surprise Prediction).
The Zacks Earnings ESP compares the Most Accurate Estimate to the Zacks Consensus Estimate for the quarter; the Most Accurate Estimate is a more recent version of the Zacks Consensus EPS estimate. The idea here is that analysts revising their estimates right before an earnings release have the latest information, which could potentially be more accurate than what they and others contributing to the consensus had predicted earlier.
Thus, a positive or negative Earnings ESP reading theoretically indicates the likely deviation of the actual earnings from the consensus estimate. However, the model's predictive power is significant for positive ESP readings only.
A positive Earnings ESP is a strong predictor of an earnings beat, particularly when combined with a Zacks Rank #1 (Strong Buy), 2 (Buy) or 3 (Hold). Our research shows that stocks with this combination produce a positive surprise nearly 70% of the time, and a solid Zacks Rank actually increases the predictive power of Earnings ESP.
Please note that a negative Earnings ESP reading is not indicative of an earnings miss. Our research shows that it is difficult to predict an earnings beat with any degree of confidence for stocks with negative Earnings ESP readings and/or Zacks Rank of 4 (Sell) or 5 (Strong Sell).
How Have the Numbers Shaped Up for Alcoa?
For Alcoa, the Most Accurate Estimate is the same as the Zacks Consensus Estimate, suggesting that there are no recent analyst views which differ from what have been considered to derive the consensus estimate. This has resulted in an Earnings ESP of 0%.
On the other hand, the stock currently carries a Zacks Rank of #3.
So, this combination makes it difficult to conclusively predict that Alcoa will beat the consensus EPS estimate.
Does Earnings Surprise History Hold Any Clue?
While calculating estimates for a company's future earnings, analysts often consider to what extent it has been able to match past consensus estimates. So, it's worth taking a look at the surprise history for gauging its influence on the upcoming number.
For the last reported quarter, it was expected that Alcoa would post earnings of $0.09 per share when it actually produced a loss of $0.33, delivering a surprise of -466.67%.
Over the last four quarters, the company has beaten consensus EPS estimates three times.
Bottom Line
An earnings beat or miss may not be the sole basis for a stock moving higher or lower. Many stocks end up losing ground despite an earnings beat due to other factors that disappoint investors. Similarly, unforeseen catalysts help a number of stocks gain despite an earnings miss.
That said, betting on stocks that are expected to beat earnings expectations does increase the odds of success. This is why it's worth checking a company's Earnings ESP and Zacks Rank ahead of its quarterly release. Make sure to utilize our Earnings ESP Filter to uncover the best stocks to buy or sell before they've reported.
Alcoa doesn't appear a compelling earnings-beat candidate. However, investors should pay attention to other factors too for betting on this stock or staying away from it ahead of its earnings release.
Stay on top of upcoming earnings announcements with the Zacks Earnings Calendar.
Free Report: Must-See Energy Stocks for 2023
Record profits at oil companies can mean big gains for you. With soaring demand and elevated prices, oil stocks could be top performers by far in 2023. Zacks has released a special report revealing the 4 oil stocks experts believe will deliver the biggest gains. (You’ll never guess Stock #2!) 
Download Oil Market on Fire today, absolutely free.
Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report
Alcoa (AA) : Free Stock Analysis Report
To read this article on Zacks.com click here.
Zacks Investment Research
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",AAPL,neutral
