date,open,high,low,close,volume
2024-01-01,98.35,98.94,97.76,98.3,19617
2024-01-02,98.38,98.63,97.9,98.44,14195
2024-01-03,99.34,99.81,98.37,99.02,5106
2024-01-04,98.84,99.45,98.7,98.78,11224
2024-01-05,100.21,101.0,99.78,100.41,11201
2024-01-06,99.61,100.16,99.46,99.87,6139
2024-01-07,98.46,98.65,98.17,98.25,9554
2024-01-08,99.33,100.06,98.77,99.53,16199
2024-01-09,99.67,100.36,99.37,100.23,15485
2024-01-10,98.98,99.47,98.33,99.43,18189
2024-01-11,98.17,99.61,97.92,98.9,15738
2024-01-12,99.76,99.87,98.66,99.26,13830
2024-01-13,100.27,100.44,98.97,99.77,13348
2024-01-14,101.0,101.13,99.75,100.29,14771
2024-01-15,100.78,101.55,99.62,100.31,5188
2024-01-16,99.51,100.12,99.1,99.38,9808
2024-01-17,99.44,99.65,98.96,99.36,7927
2024-01-18,99.9,100.72,99.77,100.24,17492
2024-01-19,101.88,102.36,101.49,101.88,6832
2024-01-20,100.42,100.81,99.83,100.74,18369
2024-01-21,101.1,101.89,100.89,101.45,19293
2024-01-22,103.3,103.85,102.55,103.12,11537
2024-01-23,104.02,104.07,103.8,103.81,14075
2024-01-24,102.8,103.54,102.07,103.36,19084
2024-01-25,103.05,103.69,102.47,103.25,19456
2024-01-26,103.47,103.65,103.39,103.49,12062
2024-01-27,103.28,103.81,101.96,102.47,5993
2024-01-28,102.8,102.95,101.83,102.19,11912
2024-01-29,102.7,103.35,101.22,101.9,6604
2024-01-30,104.16,105.03,103.48,104.29,7724
2024-01-31,104.13,104.3,104.13,104.17,11396
2024-02-01,103.32,103.98,102.79,103.35,12973
2024-02-02,102.98,103.42,102.0,102.59,5936
2024-02-03,102.86,102.91,102.07,102.48,18948
2024-02-04,102.9,103.0,101.75,102.46,9033
2024-02-05,100.93,101.96,100.68,101.51,9272
2024-02-06,101.74,102.43,101.5,101.89,10180
2024-02-07,102.37,102.43,102.2,102.37,9345
2024-02-08,103.39,103.52,102.22,102.88,16526
2024-02-09,104.77,105.31,104.05,104.5,15868
2024-02-10,104.15,104.27,103.78,104.0,8450
2024-02-11,103.0,103.4,101.91,102.63,18862
2024-02-12,103.6,103.87,102.71,102.82,9291
2024-02-13,103.3,103.39,102.4,103.16,16321
2024-02-14,101.58,102.1,101.54,101.76,10974
2024-02-15,100.59,101.21,99.73,100.44,11658
2024-02-16,100.23,101.01,99.52,100.17,19441
2024-02-17,99.26,99.59,98.59,99.12,17043
2024-02-18,98.02,98.05,97.32,97.7,8269
2024-02-19,97.53,97.55,96.81,96.96,10378
2024-02-20,98.41,99.09,97.63,98.77,13785
2024-02-21,97.95,98.72,96.95,97.16,6776
2024-02-22,97.3,98.09,96.86,96.95,19737
2024-02-23,96.49,97.23,95.35,95.78,16787
2024-02-24,96.52,97.02,95.96,96.49,7041
2024-02-25,96.26,96.82,95.48,95.92,8143
2024-02-26,97.59,98.31,97.35,97.82,13977
2024-02-27,96.71,97.38,96.34,96.86,12244
2024-02-28,97.1,97.86,96.58,97.27,9649
2024-02-29,97.04,98.13,96.51,97.53,8680
2024-03-01,95.53,96.44,95.47,95.76,11790
2024-03-02,95.06,95.26,94.34,94.86,5090
2024-03-03,94.33,94.7,93.77,94.22,18899
2024-03-04,92.89,93.4,92.63,92.95,17374
2024-03-05,94.26,94.99,93.44,93.79,7607
2024-03-06,93.97,94.28,93.35,94.06,12939
2024-03-07,92.62,93.04,92.36,92.83,13849
2024-03-08,91.88,92.05,91.32,91.65,10421
2024-03-09,91.45,92.39,90.98,91.66,16395
2024-03-10,90.89,91.84,90.21,91.23,18692
2024-03-11,92.17,92.4,92.0,92.23,12140
2024-03-12,91.96,92.67,91.29,92.09,7091
2024-03-13,90.27,90.46,89.75,90.44,7223
2024-03-14,88.9,89.16,88.13,88.74,11211
2024-03-15,87.86,88.29,87.0,87.8,10733
2024-03-16,87.44,87.47,86.33,86.53,18749
2024-03-17,85.57,86.56,85.4,86.11,16460
2024-03-18,85.05,85.29,84.4,85.19,10096
2024-03-19,83.34,84.47,83.02,83.7,16714
2024-03-20,84.13,84.69,83.3,83.54,16210
2024-03-21,84.75,85.18,83.7,84.23,6129
2024-03-22,84.56,84.65,83.77,84.53,15413
2024-03-23,82.85,83.71,82.35,83.19,13817
2024-03-24,83.21,83.89,82.08,82.75,6419
2024-03-25,82.17,82.62,82.15,82.32,18942
2024-03-26,82.03,82.25,81.45,81.93,19419
2024-03-27,81.15,81.73,79.9,80.29,17421
2024-03-28,80.84,80.86,80.34,80.58,11625
2024-03-29,80.13,80.56,79.68,80.02,17221
2024-03-30,79.56,79.74,78.83,79.41,10169
2024-03-31,79.97,80.15,79.01,79.4,16871
2024-04-01,80.48,80.72,80.05,80.34,9952
2024-04-02,79.88,81.02,79.32,80.58,7068
2024-04-03,78.43,79.08,78.15,78.7,5841
2024-04-04,77.32,78.21,76.77,77.75,7485
2024-04-05,78.69,79.3,78.36,78.85,14766
2024-04-06,79.81,80.58,79.34,80.34,12025
2024-04-07,80.4,81.29,80.24,80.53,8457
2024-04-08,78.78,79.21,78.45,79.09,16294
2024-04-09,78.14,79.18,77.78,78.62,16262
