date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-01-03,125.0410786698386,0.0,hold,hold,hold,hold
2023-01-04,125.03749720167626,-1.0,sell,sell,buy,hold
2023-01-06,124.17041443523428,0.0,hold,sell,buy,hold
2023-01-06,123.77256813232543,0.0,hold,sell,buy,hold
2023-01-09,124.78460592872015,0.0,hold,sell,buy,hold
2023-01-09,123.65507599056654,-1.0,sell,buy,sell,hold
2023-01-10,124.35813205982784,1.0,buy,sell,buy,hold
2023-01-10,124.61102832539005,0.0,hold,buy,sell,hold
2023-01-11,124.83866635082445,0.0,hold,buy,sell,hold
2023-01-11,124.5733262228534,-1.0,sell,buy,sell,hold
2023-01-11,124.9507919984925,1.0,buy,sell,buy,hold
2023-01-12,124.14064693044934,0.0,hold,buy,sell,hold
2023-01-12,123.6658019155515,0.0,hold,sell,buy,hold
2023-01-12,122.83772608765751,-1.0,sell,sell,buy,hold
2023-01-12,122.50461221072761,0.0,hold,sell,buy,hold
2023-01-18,122.86113116549518,0.0,hold,sell,buy,hold
2023-01-18,122.57103911142255,1.0,buy,buy,sell,hold
2023-01-18,122.41853414365156,0.0,hold,sell,buy,hold
2023-01-18,122.89480099665572,-1.0,sell,sell,buy,hold
2023-01-18,123.42358186011411,-1.0,sell,buy,sell,hold
2023-01-19,123.36242547649628,1.0,buy,buy,sell,hold
2023-01-19,123.19605490966016,0.0,hold,sell,buy,hold
2023-01-23,122.68144263372531,-1.0,sell,sell,buy,hold
2023-01-23,122.37447759854616,-1.0,sell,sell,buy,hold
2023-01-30,122.68316103912957,-1.0,sell,sell,buy,hold
2023-01-30,121.86150124728653,-1.0,sell,buy,sell,hold
2023-02-02,121.31025599045225,0.0,hold,sell,buy,hold
2023-02-03,121.61301710552814,-1.0,sell,sell,buy,hold
2023-02-10,121.78537135051148,0.0,hold,buy,sell,hold
2023-02-10,121.72396036674594,1.0,buy,buy,sell,hold
2023-02-21,122.18951950706621,1.0,buy,sell,buy,hold
2023-02-22,122.40369520880365,-1.0,sell,buy,sell,hold
2023-02-24,121.97052866499668,-1.0,sell,buy,sell,hold
2023-02-24,121.26719448913438,-1.0,sell,sell,buy,hold
2023-02-28,121.85669554697996,1.0,buy,sell,buy,hold
2023-03-02,122.23567715093894,-1.0,sell,buy,sell,hold
2023-03-03,122.47378698809192,-1.0,sell,buy,sell,hold
2023-03-06,122.49746539079668,0.0,hold,buy,sell,hold
2023-03-07,123.04351176978692,0.0,hold,buy,sell,hold
2023-03-07,122.59240160277777,1.0,buy,buy,sell,hold
2023-03-08,123.17476938543525,-1.0,sell,sell,buy,hold
2023-03-09,123.12178710152598,1.0,buy,buy,sell,hold
2023-03-10,123.28685776096829,1.0,buy,sell,buy,hold
2023-03-14,123.56590621877616,0.0,hold,buy,sell,hold
2023-03-14,123.77524904265339,1.0,buy,buy,sell,hold
2023-03-14,123.3435210099781,1.0,buy,buy,sell,hold
2023-03-14,123.56940289990582,0.0,hold,sell,buy,hold
2023-03-15,123.15151623337803,1.0,buy,buy,sell,hold
2023-03-16,123.42490124728667,-1.0,sell,sell,buy,hold
