date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-01-03,125.50148712408873,0.0,hold,hold,hold,hold
2023-01-04,125.5649272131283,-1.0,sell,buy,sell,hold
2023-01-06,125.73516117269925,-1.0,sell,buy,sell,hold
2023-01-06,125.21049736596886,-1.0,sell,buy,sell,hold
2023-01-09,124.9252768606281,0.0,hold,sell,buy,hold
2023-01-09,125.07525118950902,-1.0,sell,sell,buy,hold
2023-01-10,125.52979428455046,0.0,hold,buy,sell,hold
2023-01-10,125.33876001741322,-1.0,sell,buy,sell,hold
2023-01-11,125.47132817926642,1.0,buy,sell,buy,hold
2023-01-11,125.50720872217298,-1.0,sell,buy,sell,hold
2023-01-11,125.55039635225432,1.0,buy,buy,sell,hold
2023-01-12,125.5341446353806,-1.0,sell,buy,sell,hold
2023-01-12,124.54815672464024,1.0,buy,sell,buy,hold
2023-01-12,125.65579050959919,0.0,hold,sell,buy,hold
2023-01-12,125.80819916675814,1.0,buy,buy,sell,hold
2023-01-18,125.60918666501841,0.0,hold,buy,sell,hold
2023-01-18,125.69331164141957,1.0,buy,sell,buy,hold
2023-01-18,125.10418399424438,0.0,hold,buy,sell,hold
2023-01-18,124.05164388352992,0.0,hold,sell,buy,hold
2023-01-18,124.45230746414185,1.0,buy,sell,buy,hold
2023-01-19,123.53060656922632,0.0,hold,buy,sell,hold
2023-01-19,124.1612800967453,1.0,buy,sell,buy,hold
2023-01-23,124.20869757301331,-1.0,sell,buy,sell,hold
2023-01-23,123.7386673414696,0.0,hold,buy,sell,hold
2023-01-30,124.49027386408646,0.0,hold,sell,buy,hold
2023-01-30,123.76560717867746,-1.0,sell,buy,sell,hold
2023-02-02,124.12852397888268,-1.0,sell,sell,buy,hold
2023-02-03,123.90740517772852,0.0,hold,buy,sell,hold
2023-02-10,123.86005485941662,1.0,buy,sell,buy,hold
2023-02-10,123.88999849913642,0.0,hold,sell,buy,hold
2023-02-21,123.6259314522017,0.0,hold,buy,sell,hold
2023-02-22,123.39761545467455,1.0,buy,sell,buy,hold
2023-02-24,123.77170214056461,-1.0,sell,sell,buy,hold
2023-02-24,123.97576356757635,-1.0,sell,buy,sell,hold
2023-02-28,124.32061765426945,-1.0,sell,buy,sell,hold
2023-03-02,124.41219539226861,-1.0,sell,buy,sell,hold
2023-03-03,124.41231851879714,0.0,hold,buy,sell,hold
2023-03-06,125.11900309386368,-1.0,sell,buy,sell,hold
2023-03-07,124.79311495627033,1.0,buy,buy,sell,hold
2023-03-07,124.90010702275987,0.0,hold,sell,buy,hold
2023-03-08,124.9781288587755,-1.0,sell,buy,sell,hold
2023-03-09,125.40273373015435,0.0,hold,buy,sell,hold
2023-03-10,125.79240190263572,-1.0,sell,buy,sell,hold
2023-03-14,126.45224895737852,-1.0,sell,buy,sell,hold
2023-03-14,126.68271933390699,1.0,buy,buy,sell,hold
2023-03-14,126.19145742230783,-1.0,sell,buy,sell,hold
2023-03-14,125.94481208101278,1.0,buy,sell,buy,hold
2023-03-15,125.74108585253518,-1.0,sell,sell,buy,hold
2023-03-16,125.57226283842745,0.0,hold,sell,buy,hold
2023-03-20,126.19976005388465,0.0,hold,sell,buy,hold
2023-03-20,125.8979308703622,0.0,hold,buy,sell,hold
2023-03-21,125.94874637882353,0.0,hold,sell,buy,hold
2023-03-23,125.63792946683705,0.0,hold,buy,sell,hold
2023-03-24,126.70593599894065,1.0,buy,sell,buy,hold
2023-03-30,127.06693603248922,1.0,buy,buy,sell,hold
2023-03-31,126.77748291936159,-1.0,sell,buy,sell,hold
2023-04-04,126.51810818403688,-1.0,sell,sell,buy,hold
2023-04-06,127.58054966216747,-1.0,sell,sell,buy,hold
2023-04-06,127.63156465729352,1.0,buy,buy,sell,hold
2023-04-06,127.31930291392077,1.0,buy,buy,sell,hold
2023-04-06,127.93951338343379,1.0,buy,sell,buy,hold
2023-04-11,127.20060785398128,-1.0,sell,buy,sell,hold
2023-04-11,127.2153186032713,0.0,hold,sell,buy,hold
2023-04-13,127.11597304451178,1.0,buy,buy,sell,hold
2023-04-14,127.74531617110455,1.0,buy,sell,buy,hold
2023-04-14,127.5612770732617,1.0,buy,buy,sell,hold
2023-04-14,127.28944050383943,1.0,buy,sell,buy,hold
2023-04-17,126.98762214162336,0.0,hold,sell,buy,hold
2023-04-18,127.03231055567437,1.0,buy,sell,buy,hold
2023-04-19,126.94184837760098,0.0,hold,buy,sell,hold
