date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-01-03,126.17839430749828,0.0,hold,hold,hold,hold
2023-01-04,126.12569094466596,-1.0,sell,buy,sell,hold
2023-01-06,126.7191805507597,0.0,hold,sell,buy,hold
2023-01-06,126.55260582921,1.0,buy,buy,sell,hold
2023-01-09,126.57942657918197,-1.0,sell,sell,buy,hold
2023-01-09,125.89598864351741,-1.0,sell,buy,sell,hold
2023-01-10,124.85839875552122,1.0,buy,sell,buy,hold
2023-01-10,124.75833234452267,1.0,buy,sell,buy,hold
2023-01-11,125.33857997740672,-1.0,sell,sell,buy,hold
2023-01-11,125.4982163242148,0.0,hold,buy,sell,hold
2023-01-11,125.46387337396179,-1.0,sell,buy,sell,hold
2023-01-12,125.62332073706271,1.0,buy,sell,buy,hold
2023-01-12,125.93189099316044,-1.0,sell,buy,sell,hold
2023-01-12,125.50609758974605,0.0,hold,buy,sell,hold
2023-01-12,125.58192457134297,0.0,hold,sell,buy,hold
2023-01-18,124.6977203930114,1.0,buy,buy,sell,hold
2023-01-18,125.13116322997212,-1.0,sell,sell,buy,hold
2023-01-18,124.44097829230263,-1.0,sell,buy,sell,hold
2023-01-18,124.78440426323718,-1.0,sell,sell,buy,hold
2023-01-18,124.78571786368045,0.0,hold,buy,sell,hold
2023-01-19,124.36251366603538,0.0,hold,buy,sell,hold
2023-01-19,124.33745511170784,0.0,hold,sell,buy,hold
2023-01-23,123.89801463719829,0.0,hold,sell,buy,hold
2023-01-23,124.02315287549499,1.0,buy,sell,buy,hold
2023-01-30,123.89684973614416,-1.0,sell,buy,sell,hold
2023-01-30,123.34552780301465,1.0,buy,sell,buy,hold
2023-02-02,122.13721228602462,0.0,hold,sell,buy,hold
2023-02-03,123.24212075828066,1.0,buy,sell,buy,hold
2023-02-10,123.43459312629456,-1.0,sell,buy,sell,hold
2023-02-10,124.29167757521493,1.0,buy,buy,sell,hold
2023-02-21,124.44058742802976,-1.0,sell,buy,sell,hold
2023-02-22,124.14736862787807,-1.0,sell,buy,sell,hold
2023-02-24,123.6215454574847,1.0,buy,sell,buy,hold
2023-02-24,122.92674393077942,-1.0,sell,sell,buy,hold
2023-02-28,123.31626993603082,-1.0,sell,sell,buy,hold
2023-03-02,123.90411990553153,0.0,hold,buy,sell,hold
2023-03-03,124.04169395620438,1.0,buy,buy,sell,hold
2023-03-06,123.99669548118119,-1.0,sell,buy,sell,hold
2023-03-07,124.50460572455343,0.0,hold,sell,buy,hold
2023-03-07,123.81442951843937,0.0,hold,buy,sell,hold
2023-03-08,123.60154591847652,-1.0,sell,sell,buy,hold
2023-03-09,123.93332520486783,1.0,buy,sell,buy,hold
2023-03-10,123.65193175551576,-1.0,sell,buy,sell,hold
2023-03-14,123.3029787955161,-1.0,sell,sell,buy,hold
2023-03-14,123.19443470675425,1.0,buy,sell,buy,hold
2023-03-14,123.23678946280998,-1.0,sell,sell,buy,hold
2023-03-14,122.98831036182334,-1.0,sell,buy,sell,hold
2023-03-15,123.16851792764825,0.0,hold,sell,buy,hold
2023-03-16,123.06899698259024,-1.0,sell,buy,sell,hold
2023-03-20,122.87140699379273,-1.0,sell,sell,buy,hold
2023-03-20,123.06274293267525,-1.0,sell,sell,buy,hold
2023-03-21,123.45492632383663,-1.0,sell,buy,sell,hold
2023-03-23,123.51157075980643,-1.0,sell,buy,sell,hold
2023-03-24,123.29533015336932,1.0,buy,buy,sell,hold
2023-03-30,123.51796317994757,-1.0,sell,sell,buy,hold
2023-03-31,123.56902201151011,-1.0,sell,buy,sell,hold
