date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-01-03,123.19937557655416,1.0,buy,hold,hold,hold
2023-01-04,123.08270855112376,1.0,hold,sell,buy,buy
2023-01-05,123.16658472232325,-2.0,sell,sell,buy,sell
2023-01-06,123.67631923830238,0.0,sell,buy,sell,buy
2023-01-09,123.42323543812816,0.0,hold,buy,sell,hold
2023-01-10,122.61748132480214,-1.0,sell,sell,buy,hold
2023-01-11,123.24199599753837,2.0,buy,sell,buy,buy
2023-01-12,123.65028450659155,0.0,hold,buy,sell,hold
2023-01-13,125.48565779483984,2.0,buy,buy,sell,buy
2023-01-17,125.51100866992903,2.0,buy,buy,sell,buy
2023-01-18,125.63933450948363,0.0,buy,buy,sell,sell
2023-01-19,125.90343738863166,1.0,buy,buy,sell,hold
2023-01-20,125.8132880493583,0.0,sell,buy,sell,buy
2023-01-23,125.93282123820384,1.0,hold,sell,buy,buy
2023-01-24,125.61852643511396,0.0,sell,buy,sell,buy
2023-01-25,124.98981438385184,1.0,buy,sell,buy,hold
2023-01-26,125.39752485244857,1.0,hold,sell,buy,buy
2023-01-27,125.42277080540524,0.0,sell,buy,sell,buy
2023-01-30,124.63356292835462,0.0,sell,buy,sell,buy
2023-01-31,125.37315248528081,2.0,buy,sell,buy,buy
2023-02-01,125.02714297489287,0.0,sell,buy,sell,buy
2023-02-02,125.18043644323839,0.0,sell,sell,buy,buy
2023-02-03,125.68572615303563,0.0,sell,buy,sell,buy
2023-02-06,125.82913400957716,-1.0,hold,buy,sell,sell
2023-02-07,126.20333341329955,2.0,buy,buy,sell,buy
2023-02-08,125.67010484220444,0.0,buy,buy,sell,sell
2023-02-09,125.38417498073736,-1.0,hold,sell,buy,sell
2023-02-10,124.96600261835988,1.0,buy,sell,buy,hold
2023-02-13,125.50605974479693,1.0,hold,sell,buy,buy
2023-02-14,125.76885174370338,1.0,buy,buy,sell,hold
2023-02-15,126.1188461939495,1.0,hold,buy,sell,buy
2023-02-16,126.39179049591604,0.0,buy,buy,sell,sell
2023-02-17,126.63063304984205,-1.0,hold,buy,sell,sell
2023-02-21,126.2452089995751,2.0,buy,buy,sell,buy
2023-02-22,124.97749228974182,1.0,buy,sell,buy,hold
2023-02-23,125.37116255188184,-1.0,sell,sell,buy,hold
2023-02-24,125.77447917996584,0.0,buy,buy,sell,sell
2023-02-27,125.37242456747147,0.0,sell,buy,sell,buy
2023-02-28,125.05514836289635,0.0,hold,sell,buy,hold
2023-03-01,124.37205117345344,0.0,buy,sell,buy,sell
2023-03-02,124.4127619622057,-1.0,sell,sell,buy,hold
2023-03-03,124.70435995237432,1.0,hold,buy,sell,buy
2023-03-06,125.14881059686118,2.0,buy,buy,sell,buy
2023-03-07,124.46324967797771,0.0,buy,buy,sell,sell
2023-03-08,124.51242218785289,2.0,buy,sell,buy,buy
2023-03-09,124.15810198129805,-1.0,hold,buy,sell,sell
2023-03-10,124.26324085351722,-2.0,sell,sell,buy,sell
2023-03-13,124.57511382690564,1.0,hold,buy,sell,buy
2023-03-14,125.01999198408595,0.0,sell,buy,sell,buy
2023-03-15,125.33389385162313,1.0,buy,buy,sell,hold
2023-03-16,125.21086617202943,0.0,sell,buy,sell,buy
2023-03-17,124.90131121610823,-2.0,sell,sell,buy,sell
2023-03-20,124.62778193415548,0.0,sell,sell,buy,buy
2023-03-21,124.74531816946661,0.0,sell,sell,buy,buy
2023-03-22,125.0126939952571,0.0,buy,buy,sell,sell
2023-03-23,125.26864580449299,1.0,hold,buy,sell,buy
2023-03-24,125.60469288637289,1.0,hold,buy,sell,buy
2023-03-27,124.64225589976935,-1.0,hold,buy,sell,sell
2023-03-28,124.44778370700251,-1.0,sell,sell,buy,hold
2023-03-29,124.95873716382863,1.0,hold,sell,buy,buy
2023-03-30,125.57148814216366,2.0,buy,buy,sell,buy
2023-03-31,125.36952026212836,2.0,buy,buy,sell,buy
2023-04-03,125.3185581874276,2.0,buy,sell,buy,buy
2023-04-04,125.0071095922422,0.0,hold,sell,buy,hold
2023-04-05,124.24301547679521,0.0,buy,sell,buy,sell
2023-04-06,124.25081269604625,1.0,hold,sell,buy,buy
2023-04-10,124.63168304580724,0.0,buy,buy,sell,sell
2023-04-11,124.31253759956745,-2.0,sell,buy,sell,sell
